facet,temperature_K,pressure_Pa,k_m3_s,impact_probability,density_m3,hazard_s
r100,631.52875,133.32236842105263,4.2183253731913226e-21,0.00033534295554045744,1.5290673363679736e+22,64.50103542319094
r100,637.3775,133.32236842105263,4.4001532565616005e-21,0.0003478682194933328,1.5150361969198721e+22,66.66391455685678
r100,643.2262499999999,133.32236842105263,4.5871395363313796e-21,0.00036066889029832147,1.5012602231365652e+22,68.86490123871407
r100,649.075,133.32236842105263,4.779348019019818e-21,0.00037374613897744457,1.4877325172010874e+22,71.10391458916385
r100,654.9237499999999,133.32236842105263,4.976841930152696e-21,0.0003871010876924774,1.4744464276983327e+22,73.38086805132917
r100,660.7725,133.32236842105263,5.179683915881875e-21,0.00040073481100456995,1.461395538710064e+22,75.69566966598046
r100,666.6212499999999,133.32236842105263,5.387936044939864e-21,0.0004146483371118918,1.4485736594839964e+22,78.04822233684268
r100,672.47,133.32236842105263,5.601659810905327e-21,0.0004288426490648922,1.4359748146419854e+22,80.43842408652236
r100,678.3187499999999,133.32236842105263,5.8209161347563836e-21,0.0004433186859588279,1.4235932348947982e+22,82.86616830329166
r100,684.1675,133.32236842105263,6.045765367690214e-21,0.0004580773441033211,1.4114233482331386e+22,85.33134397897274
r100,690.0162499999999,133.32236842105263,6.276267294188248e-21,0.0004731194781687518,1.3994597715666784e+22,87.833835938161
r100,695.865,133.32236842105263,6.512481135307856e-21,0.0004884459023093886,1.3876973027847295e+22,90.37352505903145
r100,701.7137499999999,133.32236842105263,6.75446555218208e-21,0.0005040573912631903,1.3761309132139652e+22,92.95028848596596
r100,707.5625,133.32236842105263,7.002278649710487e-21,0.0005199546814282978,1.3647557404502018e+22,95.56399983424275
r100,713.41125,133.32236842105263,7.255977980424696e-21,0.000536138471916249,1.353567081542793e+22,98.21452938702225
