species,temperature_K,partial_pressure_Pa,Cp_J_mol_K,H_minus_H298_kJ_mol,S_standard_J_mol_K,pressure_correction_eV,mu_minus_H298_eV,mu_element_enthalpy_reference_eV,source,qualified_for_surface_rate
HCl,450.0,100000.0,29.221314054839503,4.42817140144723,198.90542640489625,0.0,-0.8817845014206224,-1.8385310655721927,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,500.0,1.0,29.306594999999998,5.891220000000004,201.98829875680008,-0.49605357776943093,-1.4817259829476268,-2.438472547099197,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,500.0,133.32236842105263,29.306594999999998,5.891220000000004,201.98829875680008,-0.28524042865942817,-1.270912833837624,-2.2276593979891945,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,500.0,100000.0,29.306594999999998,5.891220000000004,201.98829875680008,0.0,-0.985672405178196,-1.9424189693297664,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,600.0,1.0,29.58332924622222,8.83456558026667,207.3538876250801,-0.5952642933233171,-1.7931434367258696,-2.74989000087744,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,600.0,133.32236842105263,29.58332924622222,8.83456558026667,207.3538876250801,-0.34228851439131386,-1.5401676577938666,-2.4969142219454366,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
HCl,600.0,100000.0,29.58332924622222,8.83456558026667,207.3538876250801,0.0,-1.1978791434025524,-2.154625707554123,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=7,False
H2O,500.0,1.0,35.21836175,6.92464479166668,206.5340700842568,-0.49605357776943093,-1.49457208965406,-4.000926109257179,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Table=on&Type=JANAFG,False
H2O,500.0,133.32236842105263,35.21836175,6.92464479166668,206.5340700842568,-0.28524042865942817,-1.2837589405440573,-3.790112960147176,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Table=on&Type=JANAFG,False
H2O,500.0,100000.0,35.21836175,6.92464479166668,206.5340700842568,0.0,-0.9985185118846291,-3.5048725314877482,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Table=on&Type=JANAFG,False
H2O,600.0,1.0,36.317861208888885,10.500564354666665,213.05069752518938,-0.5952642933233171,-1.811302540572104,-4.317656560175223,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Table=on&Type=JANAFG,False
H2O,600.0,133.32236842105263,36.317861208888885,10.500564354666665,213.05069752518938,-0.34228851439131386,-1.5583267616401004,-4.0646807812432195,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Table=on&Type=JANAFG,False
H2O,600.0,100000.0,36.317861208888885,10.500564354666665,213.05069752518938,0.0,-1.2160382472487867,-3.7223922668519056,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Table=on&Type=JANAFG,False
