temperature_K,time_s,species,phase,mean_count,fraction_per_initial_motif
325.0,0.2,bridge_N_F0_HF,surface,6.1953125,0.0061953125
325.0,0.2,bridge_N_F1_HF,surface,0.375,0.000375
325.0,0.2,bridge_N_F2_HF,surface,0.0,0.0
325.0,0.2,bridge_N_F3_HF,surface,0.0,0.0
325.0,0.2,pre_SiH2F,surface,95.3125,0.0953125
325.0,0.2,pre_SiH2F_HF,surface,4.46875,0.00446875
325.0,0.2,pre_SiH2F_residual,surface,0.21875,0.00021875
325.0,0.2,pre_SiHF2,surface,95.3046875,0.0953046875
325.0,0.2,pre_SiHF2_HF,surface,4.6953125,0.0046953125
325.0,0.2,pre_SiHF2_residual,surface,0.0,0.0
325.0,0.2,Si_Si_F1,surface,94.8125,0.0948125
325.0,0.2,Si_Si_F1_HF,surface,4.6484375,0.0046484375
325.0,0.2,Si_Si_cleaved_F2_H,surface,0.5390625,0.0005390625
325.0,0.2,HF,reservoir_net,-344.5546875,-0.3445546875
325.0,0.2,H2,gas_product,0.0,0.0
325.0,0.2,NH3,gas_product,106.0625,0.1060625
325.0,0.2,SiF4,gas_product,0.0,0.0
325.0,0.2,SiH2F2,gas_product,0.21875,0.00021875
325.0,0.2,SiHF3,gas_product,0.0,0.0
325.0,0.25,bridge_NH_F0,surface,84.9765625,0.0849765625
325.0,0.25,bridge_NH_F1,surface,203.7890625,0.2037890625
325.0,0.25,bridge_NH_F2,surface,0.65625,0.00065625
325.0,0.25,bridge_NH_F3,surface,0.0,0.0
325.0,0.25,bridge_NH_residual,surface,0.0078125,7.8125e-06
325.0,0.25,bridge_NH_F0_HF,surface,0.0,0.0
325.0,0.25,bridge_NH_F1_HF,surface,10.53125,0.01053125
325.0,0.25,bridge_NH_F2_HF,surface,0.0390625,3.90625e-05
325.0,0.25,bridge_NH_F3_HF,surface,0.0,0.0
325.0,0.25,terminal_NH2_F0,surface,42.3984375,0.0423984375
325.0,0.25,terminal_NH2_F1,surface,88.7421875,0.0887421875
325.0,0.25,terminal_NH2_F2,surface,14.703125,0.014703125
325.0,0.25,terminal_NH2_F3,surface,0.0,0.0
325.0,0.25,terminal_NH2_residual,surface,0.0,0.0
325.0,0.25,terminal_NH2_F0_HF,surface,0.0,0.0
325.0,0.25,terminal_NH2_F1_HF,surface,3.5078125,0.0035078125
325.0,0.25,terminal_NH2_F2_HF,surface,0.6484375,0.0006484375
325.0,0.25,terminal_NH2_F3_HF,surface,0.0,0.0
325.0,0.25,Si_H_rich_F0,surface,95.109375,0.095109375
